country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:pl,country info:it
Pitcairn Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Oversjøisk britisk territorium.,,,,,,,,
Cocos (Keeling) Islands,External territory of Australia.,Australisches Außengebiet.,Territorio externo de Australia.,Territoire extérieur australien.,Australsk territorium.,,,,,,,,
Tokelau,Dependent territory of New Zealand. Tokelau has no official capital; the meeting place of the Tokelau Council rotates annually.,Von Neuseeland abhängiges Gebiet. Tokelau hat keine offizielle Hauptstadt; der Treffpunkt des Tokelauer Rates wechselt jährlich.,Territorio dependiente de Nueva Zelanda. Tokelau no tiene capital oficial; el sitio de encuentro del Consejo de Tokelau rota anualmente.,"Territoire dépendant de la Nouvelle-Zélande. La capitale, de même que la présidence du Conseil permanent du Gouvernement, tournent entre les trois atolls.",Newzealandsk territorium.,,,,,,,,
Christmas Island,External territory of Australia.,Australisches Außengebiet.,Territorio externo de Australia.,Territoire extérieur australien.,Australsk territorium. ,,,,,,,,
Norfolk Island,External territory of Australia.,Außengebiet von Australien.,Territorio externo de Australia.,Territoire extérieur australien.,Selvstyrt australsk territorium.,,,,,,,,
Montserrat,Overseas territory of the United Kingdom.,Überseegebiet des Vereinigten Königreichs.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk oversjøisk territorium i Karibia.,,,,,,,,
Saint Helena,"Part of Saint Helena, Ascension and Tristan da Cunha, an overseas territory of the United Kingdom.","Teil von St. Helena, Ascension und Tristan da Cunha, einem Überseegebiet des Vereinigten Königreichs.","Parte de Santa Elena, Ascensión y Tristán de Acuña, un territorio de ultramar del Reino Unido.","Fait partie de Sainte-Hélène, Ascension et Tristan da Cunha, un territoire britannique d'outre-mer.","Del av det britiske oversjøiske territoriet Sankt Helena, Ascencion og Tristan da Cunha.",,,,,,,,
Saint Barthélemy,Overseas territory of France.,Französisches Überseegebiet.,Territorio de ultramar de Francia.,Collectivité française d'outre-mer.,Fransk oversjøisk land.,,,,,,,,
Ceuta,Autonomous city of Spain.,Autonome spanische Stadt.,Ciudad autónoma de España.,Ville autonome d’Espagne.,Selvstyrt by i Spania.,,,,,,,,
Melilla,Autonomous city of Spain,Autonome spanische Stadt.,Ciudad autónoma de España.,Ville autonome d’Espagne.,Spansk by og enklave på Marokkos middelhavskyst.,,,,,,,,
Galápagos Islands,Province of Ecuador.,Ecuadorianische Provinz.,Provincia de Ecuador.,Province de l'Équateur.,Region i Ecuador.,,,,,,,,
Saba,Special municipality of the Netherlands.,Besondere Gemeinde der Niederlande.,Municipio especial de los Países Bajos.,Commune des Pays-Bas à statut particulier.,Kommune med særstatus i Nederland. Øy i Karibia.,,,,,,,,
Sint Eustatius,Special municipality of the Netherlands.,Besondere Gemeinde der Niederlande.,Municipio especial de los Países Bajos.,Commune des Pays-Bas à statut particulier.,Kommune med særstatus i Nederland.,,,,,,,,
Easter Island,Polynesian island and special territory of Chile.,Polynesische Insel unter Chilenischer Regierung.,Isla de la Polinesia y territorio especial de Chile.,Île polynésienne et territoire spécial du Chili.,Territorium i Chile.,,,,,,,,
Bonaire,Special municipality of the Netherlands.,Besondere Gemeinde der Niederlande.,Municipio especial de los Países Bajos.,Commune des Pays-Bas à statut particulier.,Kommune med spesiell status i Nederland.,,,,,,,,
British Indian Ocean Territory,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk besittelse.,,,,,,,,
Mount Athos,"Autonomous orthodox monastic state in northeastern Greece, also known as the Holy Mountain.","Autonomer orthodoxer Klosterstaat im Nordosten Griechenlands, auch bekannt als „Heilige Berg".","Estado monástico ortodoxo autónomo en la parte noreste de Grecia, también conocido como la Montaña Sagrada.","République monastique autonome au nord-est de la Grêce, aussi connue comme la Sainte-Montagne.",Autonom munkerepublikk i Nord-Hellas. Også kalt Det hellige berget.,,,,,,,,
ABC islands,"Island group in the Leeward Antilles consisting of Aruba, Bonaire, and Curaçao.","Inselgruppe der Inseln unter dem Winde bestehend aus Aruba, Bonaire und Curaçao.","Grupo de islas en las Antillas de Sotavento formado por Aruba, Bonaire y Curazao.","Groupe d'îles des Antilles sous le Vent composé d'Aruba, Bonaire et Curaçao.","Øygruppe i De små Antillene bestående av Aruba, Bonaire og Curaçao.",,,,,,,,
Suez Canal,Ship canal in Egypt connecting the Mediterranean Sea and the Red Sea. Opened in 1869.,Schifffahrtskanal in Ägypten zwischen Mittelmeer und Rotem Meer. Eröffnet 1869.,Canal marítimo en Egipto que conecta el mar Mediterráneo con el mar Rojo. Inaugurado en 1869.,Canal maritime en Égypte reliant la mer Méditerranée à la mer Rouge. Ouvert en 1869.,Skipskanal i Egypt mellom Middelhavet og Rødehavet. Åpnet i 1869.,,,,,,,,
Panama Canal,Ship canal in Panama connecting the Atlantic and Pacific oceans. Opened in 1914.,Schifffahrtskanal in Panama zwischen Atlantik und Pazifik. Eröffnet 1914.,Canal marítimo en Panamá que conecta el océano Atlántico con el Pacífico. Inaugurado en 1914.,Canal maritime au Panama reliant l'Atlantique au Pacifique. Ouvert en 1914.,Skipskanal i Panama mellom Atlanterhavet og Stillehavet. Åpnet i 1914.,,,,,,,,
Kiel Canal,Ship canal in Germany connecting the North Sea and the Baltic Sea. Opened in 1895.,Schifffahrtskanal in Deutschland zwischen Nordsee und Ostsee. Eröffnet 1895.,Canal marítimo en Alemania que conecta el mar del Norte con el mar Báltico. Inaugurado en 1895.,Canal maritime en Allemagne reliant la mer du Nord à la mer Baltique. Ouvert en 1895.,Skipskanal i Tyskland mellom Nordsjøen og Østersjøen. Åpnet i 1895.,,,,,,,,
Saint Lawrence Seaway,System of canals and locks in Canada and the USA connecting the Great Lakes to the Atlantic Ocean. Opened in 1959.,Kanalsystem in Kanada und den USA zwischen den Großen Seen und dem Atlantik. Eröffnet 1959.,Sistema de canales y esclusas en Canadá y EE. UU. que conecta los Grandes Lagos con el Atlántico. Inaugurado en 1959.,Système de canaux et d'écluses au Canada et aux États-Unis reliant les Grands Lacs à l'Atlantique. Ouvert en 1959.,Kanalsystem i Canada og USA mellom de Store Sjøene og Atlanterhavet. Åpnet i 1959.,,,,,,,,
