country,guid,guid:de,guid:es,guid:fr,guid:nb,guid:cs,guid:ru,guid:nl,guid:sv,guid:pt,guid:zh,guid:pl,guid:it
Pitcairn Islands,mCh>s18~IX,PleM${.)8^,K/neGJj;{X,t~:|totC7S,v<aG9C*T)T,HUgiJtE-@m,DL(Ab~)_EX,r{6o3nrs*;,A^!89R}DC*,G<F.?LM[7;,x;K^MIlxB~,GCESq|^pef,GO^SB7bB_I
Cocos (Keeling) Islands,mvNnHkGnVl,s(%/V{:-A(,"lcrrXX*L,[",Ft%(~s0yZU,j!<I^LCcV7,jg5b%hj_mx,L]+nu>Yt>A,Bv_gnaZ#pV,M`X9g|b#NS,oD|<19#L%k,vluaMTZoBr,"gO+<:S:)b,",J-%2)|vJJh
Tokelau,nN<IGBxnX.,nR=+7#?5q`,hv;R0#!(;3,"h,gV%?87c)",pXa@D`R4/-,DLv/@2ADP5,t9yp$/6$ZM,pr9Rc7nb2F,cE@S1YDw*W,kk$us9<;N7,wAuVkRq^l!,GTYvJyo59-,cN*fw+[Bd4
Christmas Island,k3]]2^DP1R,"qfk|s},0L9",zgEsqA)/M?,D&*IGrwa$z,"EnAv,,VVPR",nJP%0B-.&0,N+J.a3-brJ,J%XL+UW_BT,jyo0-*(g|^,P-D1eiKP[T,L$*!I-x1[H,GhLqns_#`/,M:<VoD7{S_
Norfolk Island,nipI.lOoC;,k{pt>M;lK%,E=&%k7tD]x,vWw{Q}@SN],mmyl~NieUk,fD`_XKkA3!,f..[FEO<2R,y-~Eh#RZn4,c$a-p#Mjs3,frbIGL+Z}X,MCH-}6J2M&,tw[!p}eqO$,BHIUrB:S`Y
Montserrat,iq7o#n0juD,pan$P6;e=>,Ed[OQ]II[],b(u8IoFmpT,"DW#h,Zuo@q",M]Y[7L`(o2,KP6hArF;8S,z<*{QnE=Lv,c&`*9l`;:(,D%[sR22:93,"K6gAD,Ys$-",jQn(C{9F-(,o:fHe>s-zE
Saint Helena,khTp#J9C!!,P@lPUyD7Lm,n:Y4?FV.r9,D%b^RAFZPX,plI1yB<kX(,Lg*P{H@!&|,m$OWO%ixv],"N[:tS_*(x,",tDFj@2_Ry8,"OPChG<,5/8",OY97X~F2>M,"dV/s]*7V,D",p+wuwaA_&`
Saint Barthélemy,ga97y4Zy0{,H3`{Wgs:76,N32K/E2ME^,j[t$1r]e!z,P`s}X]%%n.,"BN*,Os+[o{",ylo+LT<Q-g,mBi|#gHUCr,zi++}yfw`{,OKC8qo=^+},MEXI8oC8fw,LCxO$Sr~^:,dn-Q;H1&a6
Ceuta,"rHh8*,y.yc",t!8/EM-<b>,MvAmJR.a*H,Q~`$pP/xjA,h.6pb4:Q?D,uUWDZ7B]>2,p+1DOiPT`x,uXd1K*pY<C,AH%Sos=Q%/,E[90/nu%+@,IN9zgp@8dD,MeXQ/?%YGg,tANaxvYd9
Melilla,d~3m`ihA*b,LQy|aYu1j>,zN<)OWkrGG,n&_>y_UGVj,r7?UN(TOGN,Ni[B!/Wc_H,j<Dtw~;Vx-,oFA?eJFc.,vaiM`pltHB,fvg:E[.gi0,s_TLGy3(#c,z^h9mq}duY,d5kTpV;w>8
