country,flag,map,region code,tags
Pitcairn Islands,"<img src=""ug-flag-pitcairn_islands.svg"" />","<img src=""ug-map-pitcairn_islands.png"" />",PN,UG::Oceania
Cocos (Keeling) Islands,"<img src=""ug-flag-cocos_islands.svg"" />","<img src=""ug-map-cocos_islands.png"" />",CC,UG::Asia UG::Southeast_Asia
Tokelau,"<img src=""ug-flag-tokelau.svg"" />","<img src=""ug-map-tokelau.png"" />",TK,UG::Oceania
Christmas Island,"<img src=""ug-flag-christmas_island.svg"" />","<img src=""ug-map-christmas_island.png"" />",CX,UG::Asia UG::Southeast_Asia
Norfolk Island,"<img src=""ug-flag-norfolk_island.svg"" />","<img src=""ug-map-norfolk_island.png"" />",NF,UG::Oceania
Montserrat,"<img src=""ug-flag-montserrat.svg"" />","<img src=""ug-map-montserrat.png"" />",MS,UG::Caribbean UG::North_America
Saint Helena,"<img src=""ug-flag-saint_helena.png"" />","<img src=""ug-map-saint_helena.png"" />",SH,UG::Africa UG::West_Africa
Saint Barthélemy,,"<img src=""ug-map-saint_barthelemy.png"" />",BL,UG::Caribbean UG::North_America
Ceuta,"<img src=""ug-flag-ceuta.png"" />","<img src=""ug-map-ceuta.png"" />",ES,UG::Europe
Melilla,"<img src=""ug-flag-melilla.png"" />","<img src=""ug-map-melilla.png"" />",ES,UG::Europe
Galápagos Islands,"<img src=""ug-flag-galapagos_islands.svg"" />","<img src=""ug-map-galapagos_islands.png"" />",EC,UG::South_America
Saba,"<img src=""ug-flag-saba.svg"" />","<img src=""ug-map-saba.png"" />",BQ,UG::Caribbean UG::North_America
Sint Eustatius,"<img src=""ug-flag-sint_eustatius.svg"" />","<img src=""ug-map-sint_eustatius.png"" />",BQ,UG::Caribbean UG::North_America
Easter Island,"<img src=""ug-flag-easter_island.svg"" />","<img src=""ug-map-easter_island.png"" />",CL,UG::Oceania
Bonaire,"<img src=""ug-flag-bonaire.svg"" />","<img src=""ug-map-bonaire.png"" />",BQ,UG::Caribbean UG::North_America
British Indian Ocean Territory,"<img src=""ug-flag-british_indian_ocean_territory.svg"" />","<img src=""ug-map-british_indian_ocean_territory.png"" />",IO,UG::Africa
Mount Athos,"<img src=""ug-flag-mount_athos.png"" />","<img src=""ug-map-mount_athos.png"" />",GR,UG::Europe
ABC islands,,"<img src=""ug-map-abc_islands.png"" />",,UG::Caribbean UG::North_America
Suez Canal,,"<img src=""ug-map-suez_canal.png"" />",EG,UG::Canals
Panama Canal,,"<img src=""ug-map-panama_canal.png"" />",PA,UG::Canals
Kiel Canal,,"<img src=""ug-map-kiel_canal.png"" />",DE,UG::Canals
Saint Lawrence Seaway,,"<img src=""ug-map-saint_lawrence_seaway.png"" />",CA,UG::Canals
Grand Canal,,"<img src=""ug-map-grand_canal.png"" />",CN,UG::Canals
White Sea-Baltic Canal,,"<img src=""ug-map-white_sea_baltic_canal.png"" />",RU,UG::Canals
Rhine-Main-Danube Canal,,"<img src=""ug-map-rhine_main_danube_canal.png"" />",DE,UG::Canals
Volga-Don Canal,,"<img src=""ug-map-volga_don_canal.png"" />",RU,UG::Canals
Houston Ship Channel,,"<img src=""ug-map-houston_ship_channel.png"" />",US,UG::Canals
Danube-Black Sea Canal,,"<img src=""ug-map-danube_black_sea_canal.png"" />",RO,UG::Canals
Manchester Ship Canal,,"<img src=""ug-map-manchester_ship_canal.png"" />",GB,UG::Canals
Welland Canal,,"<img src=""ug-map-welland_canal.png"" />",CA,UG::Canals
Mount Everest,,"<img src=""ug-map-mount_everest.png"" />",NP,UG::Mountains UG::Asia
